Study#,SL,Title,Year,Target Q&A Site,Methodology,Categorized Methodology
S85,85,Are Comments on Stack Overflow Well Organized for Easy Retrieval by Developers?,2021,Stack Overflow,Quantitative Analysis; Qualitative Analysis; Machine Learning (Random Forest); Cosine Similarity; Vector Space Model (VSM),"Qualitative Analysis [Qualitative Analysis];
Quantitative and Statistical Analysis [Quantitative Analysis];
Machine Learning (ML) [Random Forest];
Text Analysis and Natural Language Processing [Vector Space Model (VSM)];
Relevance, Ranking, and Evaluation [Cosine Similarity];"
S86,86,Early Detection and Guidelines to Improve Unanswered Questions on Stack Overflow,2021,Stack Overflow,"Qualitative Analysis; Machine Learning (Decision Trees (CART), Random Forest, K-Nearest Neighbors, Artificial Neural Network); Text Readability Analysis; Topic Entropy Analysis; Topic Response Ratio; Random Sampling; Statistical Analysis","Qualitative Analysis [Qualitative Analysis];
Quantitative and Statistical Analysis [Random Sampling, Statistical Analysis, Topic Response Ratio];
Machine Learning (ML) [Decision Trees (CART), Random Forest, K-Nearest Neighbors, Artificial Neural Network];
Text Analysis and Natural Language Processing [Text Readability Analysis, Topic Entropy Analysis];"
S87,87,Quantifying Human-Perceived Answer Utility in Non-Factoid Question Answering,2021,self-generated Q&A,User Study; Qualitative Analysis; Correlation Analysis,"Qualitative Analysis [User Study, Qualitative Analysis];
Quantitative and Statistical Analysis [Correlation Analysis];"
S88,88,Technical Q&A Site Answer Recommendation via Question Boosting,2021,Ask Ubuntu; Super User; Stack Overflow,User Study; Deep Learning (LSTM); Sequence-to-Sequence Model; Convolutional Neural Network (CNN); Weakly Supervised Learning; Heuristic Rules,"Qualitative Analysis [User Study];
Machine Learning (ML) [Weakly Supervised Learning];
Deep Learning (DL) / Transformer-Based Deep Learning [LSTM, Sequence-to-Sequence Model, Convolutional Neural Network (CNN)];
Heuristic and Rule-Based Approaches [Heuristic Rules];"
S89,89,Contextual Profiling of Stack Overflow Java Code Security Vulnerabilities Initial Insights from a Pilot Study,2021,Stack Overflow,Quantitative Analysis (Using FindBugs); Qualitative Analysis; Manual Code Review; Contextual Profiling; Inductive Analysis; Code Vulnerability Detection,"Qualitative Analysis [Qualitative Analysis, Manual Code Review, Inductive Analysis];
Quantitative and Statistical Analysis [Quantitative Analysis (Using FindBugs)];
Text Analysis and Natural Language Processing [Contextual Profiling];
Program and Code Analysis [Code Vulnerability Detection];"
S90,90,Detecting Duplicate Questions in Stack Overflow via Semantic and Relevance Approaches,2021,Stack Overflow,Deep Learning (Siamese BiLSTM); Soft Align Attention; Semantic Matching; Relevance Matching; Doc2Vec; Word2Vec; Latent Dirichlet Allocation (LDA),"Deep Learning (DL) / Transformer-Based Deep Learning [Siamese BiLSTM, Soft Align Attention];
Text Analysis and Natural Language Processing [Doc2Vec, Word2Vec, Latent Dirichlet Allocation (LDA)];
Relevance, Ranking, and Evaluation [Semantic Matching, Relevance Matching];"
S91,91,Rollback Edit Inconsistencies in Developer Forum,2021,Stack Overflow,Qualitative Study; User Study; Statistical Analysis; Rule-Based Detection Technique,"Qualitative Analysis [Qualitative Study, User Study];
Quantitative and Statistical Analysis [Statistical Analysis];
Heuristic and Rule-Based Approaches [Rule-Based Detection Technique];"
S92,92,Characterization and Prediction of Questions without Accepted Answers on Stack Overflow,2021,Stack Overflow,"Machine Learning (XGBoost, CART, Bayesian Ridge, Ridge, Lasso, Gaussian Naive Bayes); 10-Fold Cross-Validation; Static Analysis","Machine Learning (ML) [XGBoost, CART, Bayesian Ridge, Ridge, Lasso, Gaussian Naive Bayes];
Program and Code Analysis [Static Analysis];
Miscellaneous [10-Fold Cross-Validation];"
S93,93,Beyond Relevance: Trustworthy Answer Selection via Consensus Verification,2021,Yahoo! Answers; Quora;  Amazon,Matching-Verification (MV) Framework; BERT-Based Relevance Matching; Consensus Verification; Pivoted Attention Mechanism; Self-Interaction Network; Neural Networks,"Deep Learning (DL) / Transformer-Based Deep Learning [BERT-Based Relevance Matching, Pivoted Attention Mechanism, Self-Interaction Network, Neural Networks];
Text Analysis and Natural Language Processing [Matching-Verification (MV) Framework, Consensus Verification];"
S94,94,Recency and quality-based ranking question in CQAs: A Stack Overflow case study,2021,Stack Overflow,"Learning-to-Rank Algorithms (AdaRank, Coordinate Ascent, LambdaMART, ListNet, Multiple Additive Regression Trees, Random Forests, RankBoost, RankNet, Support Vector Machine for Ranking); Manual Labeling; Ground Truth Creation","Qualitative Analysis [Manual Labeling, Ground Truth Creation];
Machine Learning (ML) [AdaRank, Coordinate Ascent, LambdaMART, ListNet, Multiple Additive Regression Trees, Random Forests, RankBoost, RankNet, Support Vector Machine for Ranking];
Relevance, Ranking, and Evaluation [Learning-to-Rank Algorithms];"
S95,95,How to Formulate Specific How-to Questions in Software Development?,2022,Stack Overflow,User Study; Knowledge Graph; Knowledge Graph Mining; Seed Task Extraction; Concept Mutation; Linguistic Mutation; Qualitative analysis,"Qualitative Analysis [User Study, Qualitative analysis];
Text Analysis and Natural Language Processing [Linguistic Mutation, Concept Mutation];
Data Mining and Graph-Based Models [Knowledge Graph, Knowledge Graph Mining, Seed Task Extraction];"
S96,96,PTM4Tag: Sharpening Tag Recommendation of Stack Overflow Posts with Pre-Trained Models,2022,Stack Overflow,"Transfer Learning (CodeBERT, ALBERT, BERT, RoBERTa, BERTOverflow); BERT-Based Multi-Label Classifier; Post2Vec Baseline Comparison; Ablation Study; Pre-Processing (HTML Tag Removal)","Deep Learning (DL) / Transformer-Based Deep Learning [Transfer Learning (CodeBERT, ALBERT, BERT, RoBERTa, BERTOverflow), BERT-Based Multi-Label Classifier];
Text Analysis and Natural Language Processing [Post2Vec Baseline Comparison, Pre-Processing (HTML Tag Removal)];
Miscellaneous [Ablation Study];"
S97,97,A Study of C/C++ Code Weaknesses on Stack Overflow,2022,Stack Overflow,Quantitative Analysis; Data Mining; Qualitative Analysis; Static Code Analysis (Cppcheck); CWE Mapping; Code Revision Analysis; User Behavior Analysis; Qualitative Study,"Qualitative Analysis [Qualitative Analysis, Qualitative Study];
Quantitative and Statistical Analysis [Quantitative Analysis];
Data Mining and Graph-Based Models [Data Mining, User Behavior Analysis];
Program and Code Analysis [Static Code Analysis (Cppcheck), CWE Mapping, Code Revision Analysis];"
S98,98,An Empirical Study of C++ Vulnerabilities in Crowd-Sourced Code Examples,2022,Stack Overflow,Qualitative Analysis; Manual Code Review; Vulnerability Classification; CWE Tagging; SyntaxNet Analysis; Clone Detection,"Qualitative Analysis [Qualitative Analysis, Manual Code Review];
Text Analysis and Natural Language Processing [SyntaxNet Analysis];
Program and Code Analysis [Vulnerability Classification, CWE Tagging, Clone Detection];"
S99,99,Ask It Right! Identifying Low-Quality questions on Community Question Answering Services,2022,Stack Overflow,"Deep Learning (BERTOverflow, Graph Convolutional Network (GCN)); BERT-Based Transformer Model; Survival Analysis; Late Fusion Technique","Quantitative and Statistical Analysis [Survival Analysis];
Deep Learning (DL) / Transformer-Based Deep Learning [BERTOverflow, Graph Convolutional Network (GCN), BERT-Based Transformer Model, Late Fusion Technique];"
S100,100,Generating High Quality Titles in StackOverflow via Data Denoising Method,2022,Stack Overflow,K-Clusters Confidence Learning (KCL-CT); Cross-Validation; Transformer Model; Data Denoising; Heuristic Pruning,"Machine Learning (ML) [K-Clusters Confidence Learning (KCL-CT)];
Deep Learning (DL) / Transformer-Based Deep Learning [Transformer Model];
Heuristic and Rule-Based Approaches [Data Denoising, Heuristic Pruning];
Miscellaneous [Cross-Validation];"
S101,101,Predicting Rollback Edits on Stack Overflow Based on Deep Fusion of Metadata and Text,2022,Stack Overflow,Deep Learning (Deep Fusion of Metadata and Text (DFMT)); Quantitative Analysis; Logistic Regression; Bidirectional Long Short Term Memory network (BiLSTM); TextCNN; Attention-Based BiLSTM; BERT Model,"Quantitative and Statistical Analysis [Quantitative Analysis];
Machine Learning (ML) [Logistic Regression];
Deep Learning (DL) / Transformer-Based Deep Learning [Deep Fusion of Metadata and Text (DFMT), Bidirectional Long Short Term Memory network (BiLSTM), TextCNN, Attention-Based BiLSTM, BERT Model];"
S102,102,SOTitle: A Transformer-based Post Title Generation Approach for Stack Overflow,2022,Stack Overflow,Transformer-Based Model (Multi-Head Attention Mechanism); Multi-Task Learning; SentencePiece Tokenizer; Multi-Modal Input (Code and Description); Beam Search; Heuristic Filtering,"Machine Learning (ML) [Multi-Task Learning];
Deep Learning (DL) / Transformer-Based Deep Learning [Transformer-Based Model (Multi-Head Attention Mechanism), Multi-Modal Input (Code and Description), Beam Search];
Text Analysis and Natural Language Processing [SentencePiece Tokenizer];
Heuristic and Rule-Based Approaches [Heuristic Filtering];"
S103,103,Is this question going to be closed? Answering question closibility on Stack Exchange,2022,Stack Exchange,"Machine Learning (Gradient Boosting, Naive Bayes, Logistic Regression, Random Forest); SMOTE (Oversampling)","Quantitative and Statistical Analysis [SMOTE (Oversampling)];
Machine Learning (ML) [Gradient Boosting, Naive Bayes, Logistic Regression, Random Forest];"
S104,104,Improving Stack Overflow question title generation with copying enhanced CodeBERT model and bi-modal information,2022,Stack Overflow,Deep Learning (CCBERT); Qualitative Analysis; Transformer-Based Model; Bi-Modal Encoding (Text and Code); CodeBERT Model; Copy Mechanism; Encoder-Decoder Architecture; Multi-Head Self-Attention,"Qualitative Analysis [Qualitative Analysis];
Deep Learning (DL) / Transformer-Based Deep Learning [CCBERT, Transformer-Based Model, Bi-Modal Encoding (Text and Code), CodeBERT Model, Copy Mechanism, Encoder-Decoder Architecture, Multi-Head Self-Attention];"
S105,105,Analyzing Techniques for Duplicate Question Detection on Q&A Websites for Game Developers,2022,Stack Overflow; Game Development (Stack Excahnge),Unsupervised and Pre-Trained Models; MPNet Embeddings; Cosine Similarity; Random Forest Classifier; Data Sampling,"Quantitative and Statistical Analysis [Data Sampling];
Machine Learning (ML) [Random Forest Classifier];
Deep Learning (DL) / Transformer-Based Deep Learning [Unsupervised and Pre-Trained Models, MPNet Embeddings];
Relevance, Ranking, and Evaluation [Cosine Similarity];"
S106,106,The reproducibility of programming-related issues in Stack Overflow questions,2022,Stack Overflow,Qualitative Analysis; Quantitative Analysis; Correlation Analysis; Statistical Analysis; rule-based model,"Qualitative Analysis [Qualitative Analysis];
Quantitative and Statistical Analysis [Quantitative Analysis, Correlation Analysis, Statistical Analysis];
Heuristic and Rule-Based Approaches [rule-based model];"
S107,107,Studying the Long-Term Value Answers on Stack Overflow,2022,Stack Overflow,Machine Learning (Logistic Regression); Qualitative Analysis; Exploratory Analysis; Quantitative Analysis; Statistical Correlation,"Qualitative Analysis [Qualitative Analysis];
Quantitative and Statistical Analysis [Exploratory Analysis, Quantitative Analysis, Statistical Correlation];
Machine Learning (ML) [Logistic Regression];"
S108,108,Towards Quality Improvement and Prediction of Closed Questions on Stack Overflow,2022,Stack Overflow,"Machine Learning (XGBoost, Random Forest, Vowpal Wabbit); SMOTE Oversampling; Random Undersampling; Multi-Class Classification","Quantitative and Statistical Analysis [SMOTE Oversampling, Random Undersampling];
Machine Learning (ML) [XGBoost, Random Forest, Vowpal Wabbit, Multi-Class Classification];"
S109,109,Context-Aware Answer Selection in Community Question Answering Exploiting Spatial Temporal Bidirectional Long Short-Term Memory,2023,No explicit A&A site,Deep Learning (Spatial-Temporal Bi-LSTM); Par2Vec Encoding; Text Preprocessing; Semantic-Aware Vector Representation; Max Pooling; Softmax Layer,"Deep Learning (DL) / Transformer-Based Deep Learning [Spatial-Temporal Bi-LSTM, Max Pooling, Softmax Layer];
Text Analysis and Natural Language Processing [Par2Vec Encoding, Text Preprocessing, Semantic-Aware Vector Representation];"
S110,110,A novel hybrid CNN-LSTM approach for assessing Stack Overflow post quality,2023,Stack Overflow,Deep Learning (Hybrid Convolutional Neural Network–Long Short-Term Memory); LSTM for Temporal Dependencies; Multiclass Classification,"Machine Learning (ML) [Multiclass Classification];
Deep Learning (DL) / Transformer-Based Deep Learning [Hybrid Convolutional Neural Network–Long Short-Term Memory, LSTM for Temporal Dependencies];"
S111,111,Diverse title generation for Stack Overflow posts with multiple-sampling-enhanced transformer,2023,Stack Overflow,M3NSCT5 (Hybrid Method Combining Maximal Marginal Multiple Nucleus Sampling and CodeT5); Qualitative Analysis; Transformer Model; CodeT5 Backbone; Sequence-to-Sequence Model; Pre-Training on Code Corpus,"Qualitative Analysis [Qualitative Analysis];
Deep Learning (DL) / Transformer-Based Deep Learning [M3NSCT5 (Hybrid Method Combining Maximal Marginal Multiple Nucleus Sampling and CodeT5), Transformer Model, CodeT5 Backbone, Sequence-to-Sequence Model, Pre-Training on Code Corpus];"
S112,112,Dual-interactive fusion for code-mixed deep representation learning in tag recommendation,2023,"StackOverflow, Codereview, Database Administrators, Wordpress",CDR4Tag (Code-Mixed Deep Representation Learning); Code-Mixed Deep Representation; Dual-Interactive Fusion; Hierarchy-Aware Semantic Learning; GraphCodeBERT Encoding; Sentence Pair Matching,"Deep Learning (DL) / Transformer-Based Deep Learning [CDR4Tag (Code-Mixed Deep Representation Learning), Code-Mixed Deep Representation, Dual-Interactive Fusion, Hierarchy-Aware Semantic Learning, GraphCodeBERT Encoding];
Text Analysis and Natural Language Processing [Sentence Pair Matching];"
S113,113,KEIC: A Tag Recommendation Framework with Knowledge Enhancement and Interclass Correlation,2023,Baidu Knows; Freecode; Stack Overflow ,"Machine/Deep Learning (KEIC-FastText, KEIC-XML-CNN, KEIC-AttentionXML, KEIC-BERT); Knowledge Integration; Sequence Encoding; Correlation Capture; Knowledge Graph Augmentation; Transformer Models; Multi-Label Classification","Machine Learning (ML) [KEIC-FastText, Multi-Label Classification];
Deep Learning (DL) / Transformer-Based Deep Learning [Transformer Models, Sequence Encoding, Correlation Capture, KEIC-XML-CNN, KEIC-AttentionXML, KEIC-BERT];
Text Analysis and Natural Language Processing [Knowledge Integration, Knowledge Graph Augmentation];"
S114,114,Textual tag recommendation with multi-tag topical attention,2023,Physics-StackExchange; Academia-StackExchange; Law-StackExchange; AskUbuntu,"Machine/Deep Learning (Neural Topic Generator, BoW, Multi-Tag Topical Attention Mechanism); Multi-Task Learning; Sequence Encoder; Dynamic Neural Topic; Multi-Tag Topical Attention Mechanism; Topic-Guided Tag Ranker","Machine Learning (ML) [Multi-Task Learning];
Deep Learning (DL) / Transformer-Based Deep Learning [Neural Topic Generator, Sequence Encoder, Dynamic Neural Topic];
Text Analysis and Natural Language Processing [BoW];
Relevance, Ranking, and Evaluation [Multi-Tag Topical Attention Mechanism, Topic-Guided Tag Ranker];"
S115,115,Duplicate Quora Questions Pair Detection using Siamese Bert and Ma-LSTM,2023,Quora,"Deep Learning (Siamese Neural Network, BERT, MaLSTM, BiLSTM Models); Word Embeddings (Word2Vec, Google2Vec); Preprocessing (Tokenization, Stopword Removal); Cosine Similarity","Deep Learning (DL) / Transformer-Based Deep Learning [Siamese Neural Network, BERT, MaLSTM, BiLSTM Models];
Text Analysis and Natural Language Processing [Word Embeddings (Word2Vec, Google2Vec), Preprocessing (Tokenization, Stopword Removal)];
Relevance, Ranking, and Evaluation [Cosine Similarity];"
S116,116,Predicting answer acceptability for question-answering system,2023,Stack Overflow,"Machine Learning (Naive Bayes, Random Forest, Logistic Regression, Gradient Boosting); Data Preprocessing; SMOTE Oversampling","Quantitative and Statistical Analysis [SMOTE Oversampling];
Machine Learning (ML) [Naive Bayes, Random Forest, Logistic Regression, Gradient Boosting];
Text Analysis and Natural Language Processing [Data Preprocessing];"
S117,117,Automatic prediction of rejected edits in Stack Overflow,2023,Stack Overflow,"Qualitative Analysis; Machine Learning (Decision Trees, Random Forest, K-Nearest Neighbors, eXtreme Gradient Boosting)","Qualitative Analysis [Qualitative Analysis];
Machine Learning (ML) [Decision Trees, Random Forest, K-Nearest Neighbors, eXtreme Gradient Boosting];"
S118,118,Automated Question Title Reformulation by Mining Modification Logs From Stack Overflow,2023,Stack Overflow,Transformer-Based Deep Learning (Transformer model T5); qualitative analysis; natural language processing (NLP); user study;,"Deep Learning (DL) / Transformer-Based Deep Learning [Transformer model T5];
Qualitative Analysis [qualitative analysis, user study];
Text Analysis and Natural Language Processing [natural language processing (NLP)];"
S119,119,Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT Answers to Stack Overflow Questions,2024,Stack Overflow,linguistic analysis; user study; qualitative analysis; deep learning (RoBERTa);,"Text Analysis and Natural Language Processing [linguistic analysis];
Qualitative Analysis [qualitative analysis, user study];
Deep Learning (DL) / Transformer-Based Deep Learning [RoBERTa];"
S120,120,Identifying Smart Contract Security Issues in Code Snippets from Stack Overflow,2024,Stack Overflow,user study; Generative AI/Foundation Models (Llama2);,"Qualitative Analysis [user study];
Generative AI/Foundation Models [Llama2];"
S121,121,Can We Identify Stack Overflow Questions Requiring Code Snippets? Investigating the Cause & Effect of Missing Code Snippets,2024,Stack Overflow,"natural language processing (NLP); qualitative analysis; user study; machine learning (Random Forest (RF), eXtreme Gradient Boosting (XGBoost), Artificial Neural Network (ANN), Gaussian Naive Bayes (NB), K-Nearest Neighbors (KNN), Support Vector Machines (SVM)); ","Qualitative Analysis [qualitative analysis, user study];
Machine Learning (ML) [Random Forest (RF), eXtreme Gradient Boosting (XGBoost), Artificial Neural Network (ANN), Gaussian Naive Bayes (NB), K-Nearest Neighbors (KNN), Support Vector Machines (SVM)];
Text Analysis and Natural Language Processing [natural language processing (NLP)];"
S122,122,AUTOGENICS: Automated Generation of Context-Aware Inline Comments for Code Snippets on Programming Q&A Sites Using LLM,2024,Stack Overflow,"AI/Foundation Models (Gemini 1.5 Pro, GPT-4); user study; qualitative analysis;","Qualitative Analysis [user study, qualitative analysis];
Generative AI/Foundation Models [Gemini 1.5 Pro, GPT-4];"
S123,123,"Reproducibility of issues reported in stack overflow questions: Challenges, impact & estimation",2024,Stack Overflow,"user study; machine learning (Random Forest (RF), eXtreme Gradient Boosting (XGBoost), Artificial Neural Network (ANN), Naive Bayes (NB), K-Nearest Neighbors(KNN)); qualitative analysis; SMOTE oversampling;","Qualitative Analysis [user study, qualitative analysis];
Machine Learning (ML) [Random Forest (RF), eXtreme Gradient Boosting (XGBoost), Artificial Neural Network (ANN), Naive Bayes (NB), K-Nearest Neighbors (KNN)];
Quantitative and Statistical Analysis [SMOTE oversampling];"
S124,124,PTM4Tag+: Tag recommendation of stack overflow posts with pre-trained models,2024,Stack Overflow,"Transformer-Based Deep Learning (BERT, RoBERTa, CodeBERT, BERTOverflow, ALBERT, PLBART, CoTexT, CodeT5, DistilBERT, DistilRoBERTa, CodeBERT-small, CodeT5-small); ","Deep Learning (DL) / Transformer-Based Deep Learning [BERT, RoBERTa, CodeBERT, BERTOverflow, ALBERT, PLBART, CoTexT, CodeT5, DistilBERT, DistilRoBERTa, CodeBERT-small, CodeT5-small];"
S125,125,Towards Better Answers: Automated Stack Overflow Post Updating,2025,Stack Overflow,Generative AI/Foundation Models (CodeLlama); qualitative analysis;,"Qualitative Analysis [qualitative analysis];
Generative AI/Foundation Models [CodeLlama];"
S126,126,Does Editing Improve Answer Quality on Stack Overflow? A Data-Driven  Investigation,2025,Stack Overflow,quantitative analysis; ,Quantitative and Statistical Analysis [quantitative analysis];
S127,127,Detecting question relatedness in programming Q&A communities via bimodal feature fusion,2025,"Stack Overflow, Chinese Massive Open Online Course (MOOC)","Transformer-Based Deep Learning (SOBERT, UniXcoder); ","Deep Learning (DL) / Transformer-Based Deep Learning [SOBERT, UniXcoder];"
