Methodology,Count,Percentage,Associated Studies,Details
Machine Learning (ML),70,55.1,"S1, S2, S3, S4, S5, S6, S7, S8, S9, S12, S14, S15, S16, S17, S19, S21, S24, S25, S26, S27, S31, S33, S35, S36, S37, S38, S40, S41, S42, S44, S45, S47, S48, S49, S53, S54, S55, S56, S57, S59, S60, S61, S64, S66, S67, S70, S73, S76, S79, S80, S82, S85, S86, S88, S92, S94, S100, S101, S102, S103, S105, S107, S108, S110, S113, S114, S116, S117, S121, S123","adaboost, adarank, adtree, artificial neural network, artificial neural network (ann), bayes multinomial algorithm, bayesian network (bayesnet), bayesian ridge, booststack, cart, classification frameworks using stochastic gradient boosted trees, clustering-based discretization, co-prediction algorithms (cops), collaborative filtering, collaborative filtering (cf), combined model, complement naive bayes, coordinate ascent, decision tree, decision tree (j48), decision trees, decision trees (cart), discriminative model training, ensemble learning, exqd, extreme gradient boosting, extreme gradient boosting (xgboost), feature engineering, fully-connected neural network, gaussian naive bayes, gaussian naive bayes (nb), generative model, genetic algorithms, gradient boosting, gradient boosting classifier, gradient descent, gradient descent optimization, grid search, hierarchical classifiers, hierarchical logistic regression, j48, joint prediction models, k-clusters confidence learning (kcl-ct), k-nearest neighbor, k-nearest neighbors, k-nearest neighbors (knn), k-nearest neighbours (k-nn), keic-fasttext, knn, lambdamart, lasso, learning to rank model, linear svm, listnet, logistic regression, logistic regression classifier, logistic regression model, machine learning classifiers, multi-class alternating decision tree, multi-class classification, multi-classification algorithm, multi-label classification, multi-layer perceptron, multi-task learning, multi-view fusion classifier, multi-view learning, multiclass classification, multilayer perceptron, multiple additive regression trees, naive bayes, naive bayes (nb), naive bayes classifier, naďve bayes, neural network, prediction modeling, predictive modeling, random forest, random forest (rf), random forest classifier, random forests, random forests (rf), rankboost, ranknet, ranksvm, rbf svm, relational classifier, ridge, shah, simple logistic regression, stochastic gradient boosted trees, stochastic gradient boosting, supervised recommendation system, supervised topic modeling, support vector machine, support vector machine (svm), support vector machine for ranking, support vector machines, support vector machines (svm), svm, svm classifier, vowpal wabbit, weakly supervised learning, xgboost"
Text Analysis and Natural Language Processing,63,49.6,"S1, S9, S12, S13, S17, S19, S20, S23, S25, S28, S29, S33, S34, S35, S36, S37, S38, S39, S40, S42, S43, S44, S45, S46, S49, S52, S53, S54, S56, S59, S60, S62, S63, S64, S66, S67, S68, S69, S70, S71, S76, S77, S78, S81, S82, S85, S86, S89, S90, S93, S95, S96, S98, S102, S109, S112, S113, S114, S115, S116, S118, S119, S121","bag of words, bag-of-words, bow, cbow embedding, concept mutation, consensus verification, contextual profiling, data preprocessing, doc2vec, doc2vec representation, duplicate pair detection, feature engineering (textual, formatting, glove embedding, google2vec), huffman coding, inverse document frequency (idf), knowledge graph augmentation, knowledge integration, l-rouge metric, language models (lmjm, latent dirichlet allocation (lda), latent dirichlet allocation (lda) topic modeling, lda for dimensionality reduction, lda topic modeling, lexical analysis, linguistic analysis, linguistic inquiry and word count (liwc), linguistic mutation, lmdir), mallet, matching-verification (mv) framework, maximal marginal relevance (mmr), n-gram features, named entity recognition (ner), natural language processing (nlp), network embedding (snippet2vec), obsolescence reason classification, orthographic), par2vec encoding, part-of-speech tagging, politeness scoring, post2vec baseline comparison, pre-processing (html tag removal), preprocessing (tokenization, question-tag embeddings, question-type classification, relational topic modeling (rtm), rouge-lcs recall, semantic analysis, semantic similarity analysis, semantic-aware vector representation, sentence alignment, sentence pair matching, sentence pattern recognition, sentencepiece tokenizer, sentiment analysis, sentiment analysis (e.g., sentiment evaluation, sentistrength), skip-gram embedding, stemming), stop-word removal, stopword removal), synonym creation strategies, syntaxnet analysis, tag normalization, tag-lda, tag-term affinity scoring, term extraction, term extraction using antlr4, term frequency (tf), term frequency analysis (tf-idf), term-based strategy, text classification, text mining, text preprocessing, text preprocessing (cleaning, text readability analysis, textual and semantic feature analysis, tf-idf, tf-idf transformation, tf-idf vectorization, token similarity algorithm (tsa), tokenization, topic clustering, topic entropy analysis, topic modeling, topic modeling (lda), topical folksonomy, user-oriented feature extraction, vector similarity (doc2vec), vector space model (vsm), word embedding, word embeddings, word embeddings (word2vec, word2vec, word2vec and doc2vec embeddings, word2vec embeddings, word2vec model"
Qualitative Analysis,59,46.5,"S1, S2, S3, S5, S8, S10, S11, S12, S16, S21, S22, S24, S29, S32, S33, S39, S41, S46, S48, S49, S50, S51, S52, S54, S55, S56, S60, S62, S63, S65, S66, S71, S74, S75, S79, S83, S84, S85, S86, S87, S88, S89, S91, S94, S95, S97, S98, S104, S106, S107, S111, S117, S118, S119, S120, S121, S122, S123, S125","collaborative editing analysis, community feedback analysis, content analysis, empirical study of edits, expert evaluation, expert judgment, ground truth creation, human assessments (e.g., human expert assessments, human quality ratings, human rating (e.g., human rating on quality, inductive analysis, likert scale), likert-based coding, manual annotation, manual case studies, manual code review, manual inspection, manual labeling, manual tag analysis, manual validation, mechanical turk), open-discussion evaluation, open-ended questions, psycholinguistic analysis, qualitative analysis, qualitative analysis of snippets, qualitative assessment, qualitative coding, qualitative content analysis, qualitative study, typology-based evaluation, usability testing, user background knowledge analysis, user study, user survey"
Quantitative and Statistical Analysis,49,38.6,"S4, S6, S7, S8, S10, S11, S13, S15, S17, S18, S19, S20, S22, S23, S26, S27, S30, S33, S34, S43, S49, S50, S57, S60, S61, S64, S65, S71, S72, S77, S80, S83, S84, S85, S86, S87, S89, S91, S97, S99, S101, S103, S105, S106, S107, S108, S116, S123, S126","adasyn), bayesian inference, correlation analysis, correlation analysis (linear regression), data sampling, data sampling (smote, downsampling for balancing dataset, exploratory analysis, exploratory factor analysis (efa), feature comparison (before and after revision), frequentist inference, information gain, information gain analysis, information gain ratio analysis, krippendorff’s alpha, likert scale, linear regression (e.g., logistic regression analysis, longitudinal analysis, maximum likelihood estimation, multiple linear regression, multiple regression, nonparametric statistical tests, popularity analysis, pos tag diversity, quantitative analysis, quantitative analysis (self-explanatory rating), quantitative analysis (using findbugs), random sampling, random under-sampling, random undersampling, readability analysis, readability metrics, redundancy analysis, regression), ridge regression), smote (oversampling), smote balancing, smote oversampling, statistical analysis, statistical analysis (e.g., statistical correlation, stratified random sampling, stratified sampling, survival analysis, temporal analysis, temporal trend analysis, term overlap analysis, topic response ratio, variable clustering, varimax rotation, voting correlation analysis"
Deep Learning (DL) / Transformer-Based Deep Learning,35,27.6,"S39, S52, S53, S62, S67, S68, S69, S75, S76, S77, S78, S80, S81, S82, S88, S90, S93, S96, S99, S100, S101, S102, S104, S105, S109, S110, S111, S112, S113, S114, S115, S118, S119, S124, S127","albert, attention mechanism, attention-based bilstm, beam search, bert, bert model, bert-based multi-label classifier, bert-based relevance matching, bert-based transformer model, bertoverflow, bertoverflow), bi-lstm, bi-modal encoding (text and code), bidirectional, bidirectional long short term memory network (bilstm), bilstm models, capsule networks, ccbert, cdr4tag (code-mixed deep representation learning), character-level modeling, cnn, cnn models, cnn-based approach, code-mixed deep representation, codebert, codebert model, codebert-small, codet5, codet5 backbone, codet5-small, composite), convolutional neural network, convolutional neural network (cnn), convolutional neural networks, convolutional neural networks (cnn), copy mechanism, correlation capture, cotext, coverage mechanism, deep fusion of metadata and text (dfmt), deep learning, dense layers), distilbert, distilroberta, dq-cnn, dq-lstm, dq-rnn, dual-interactive fusion, dynamic neural topic, encoder-decoder architecture, graph convolutional network (gcn), graphcodebert encoding, gru, gru-based rnn models (unidirectional, hierarchical dag encoding, hierarchy-aware semantic learning, hybrid convolutional neural network–long short-term memory, keic-attentionxml, keic-bert, keic-xml-cnn, late fusion technique, long short-term memory (lstm), lstm, lstm for temporal dependencies, lstm models, lstm-based approach, m3nsct5 (hybrid method combining maximal marginal multiple nucleus sampling and codet5), malstm, max pooling, mpnet embeddings, multi-head self-attention, multi-modal input (code and description), multilayer cnn, neural network, neural networks, neural networks (gru, neural topic generator, pivoted attention mechanism, plbart, pre-training on code corpus, recurrent neural networks (rnn), rnn, rnn encoder-decoder model, rnn-based approach, roberta, self-interaction network, sequence encoder, sequence encoding, sequence-to-sequence model, siamese bilstm, siamese neural network, sigmoid cross-entropy loss, sobert, soft align attention, softmax function, softmax layer, spatial-temporal bi-lstm, textcnn, transfer learning, transfer learning (codebert, transformer model, transformer model t5, transformer models, transformer-based model, transformer-based model (multi-head attention mechanism), unixcoder, unsupervised and pre-trained models, wv-cnn, wv-lstm, wv-rnn"
"Relevance, Ranking, and Evaluation",22,17.3,"S4, S6, S12, S16, S18, S25, S28, S33, S40, S44, S53, S58, S59, S61, S66, S76, S85, S90, S94, S105, S114, S115","bm25 ranking function, bm25 scoring function, cosine similarity, cross-domain comparison, feature importance ranking, feature ranking, hits algorithm, learning algorithm comparison, learning to rank (l2r), learning-to-rank (l2r) approach, learning-to-rank algorithms, multi-label ranking component, multi-tag topical attention mechanism, ranking algorithm (pagerank), relevance features (bm25), relevance matching, semantic matching, similarity matching, similarity-based ranking component, svmrank, tag ranking, tag-content relevance, topic-guided tag ranker"
Data Mining and Graph-Based Models,19,15.0,"S1, S6, S8, S10, S11, S17, S29, S40, S43, S51, S53, S56, S63, S66, S70, S73, S81, S95, S97","api usage mining, association features, association rule mining, boruta algorithm), clustering, collaborative filtering, data mining, data mining (e.g., data mining and graph-based models, egonet features (graph analysis), expertiserank, feature ranking, graph models, graph-based classification, graph-based model of contributor relationships combined with content and usage-based features, guard condition mining, heterogeneous information network (hin), knowledge graph, knowledge graph mining, knowledge retrieval from external kbs, meta-path guided random walk, multi-level tag recommendation, pattern recognition, point process model, post-tag co-clustering, seed task extraction, subsequence mining, user behavior analysis, user interaction modeling"
Program and Code Analysis,13,10.2,"S21, S30, S32, S51, S65, S74, S79, S83, S84, S89, S92, S97, S98","analysis of non-trivial code blocks, c-units inference, checkstyle for readability, clone detection, code classification, code completer, code normalization, code readability metrics, code revision analysis, code violation analysis, code vulnerability detection, cwe mapping, cwe tagging, dependencies resolver, dependency resolution, feedback-directed compilation, feedback-driven code improvement, findbugs for performance, findbugs for security, licensing conflict analysis, outdated clone analysis, pmd for code reliability, program slicing, quick fix suggestions, slicing techniques, snippet sampling, static analysis, static code analysis (cppcheck), vulnerability classification"
Heuristic and Rule-Based Approaches,11,8.7,"S28, S30, S44, S53, S55, S71, S88, S91, S100, S102, S106","clustering hypothesis, customized algorithm (composer), data denoising, data filtering, greedy method (weight optimization), heuristic filtering, heuristic pruning, heuristic rules, heuristic-based data collection, rule-based detection technique, rule-based model, tag filtering"
Generative AI/Foundation Models,3,2.4,"S120, S122, S125","codellama, gemini 1.5 pro, gpt-4, llama2"
Miscellaneous,19,15.0,"S2, S4, S12, S14, S15, S16, S17, S19, S36, S37, S38, S41, S55, S67, S79, S82, S92, S96, S100","10-fold cross-validation, ablation study, bounty analysis, cross-validation, k-fold cross-validation, prompter tool, weka tool"
